Reinitialization requiredthe ProjectPosition_origin: 0.00693161 -0.800773 1.75048
WARNING: tranlsation vectors are empty!
the ProjectPosition_correc: -0.490093 -0.837264 1.75483
 
the ProjectPosition_origin: -0.490093 -0.837264 1.75483
the ProjectPosition_correc: -0.490093 -0.837264 1.75483
 
the ProjectPosition_origin: -0.490093 -0.837264 1.75483
the ProjectPosition_correc: -0.490093 -0.837264 1.75483
 
the ProjectPosition_origin: -0.490093 -0.837264 1.75483
the ProjectPosition_correc: -0.490093 -0.837264 1.75483
 
the ProjectPosition_origin: -0.490093 -0.837264 1.75483
the ProjectPosition_correc: -0.490093 -0.837264 1.75483
 
the ProjectPosition_origin: -0.490093 -0.837264 1.75483
the ProjectPosition_correc: -0.490093 -0.837264 1.75483
 
the ProjectPosition_origin: -0.490093 -0.837264 1.75483
the ProjectPosition_correc: -0.490093 -0.837264 1.75483
 
the ProjectPosition_origin: -0.490093 -0.837264 1.75483
the ProjectPosition_correc: -0.490093 -0.837264 1.75483
 
the ProjectPosition_origin: -0.490093 -0.837264 1.75483
the ProjectPosition_correc: -0.490093 -0.837264 1.75483
 
the ProjectPosition_origin: -0.490093 -0.837264 1.75483
the ProjectPosition_correc: -0.490093 -0.837264 1.75483
 
the ProjectPosition_origin: -0.490093 -0.837264 1.75483
the ProjectPosition_correc: -0.490093 -0.837264 1.75483
 
the ProjectPosition_origin: 0.0360594 -0.550887 1.80044
the ProjectPosition_correc: 0.0360594 -0.550887 1.80044
 
the ProjectPosition_origin: 0.0360594 -0.550887 1.80044
the ProjectPosition_correc: 0.0360594 -0.550887 1.80044
 
the ProjectPosition_origin: 0.0360594 -0.550887 1.80044
the ProjectPosition_correc: 0.0360594 -0.550887 1.80044
 
the ProjectPosition_origin: 0.0360594 -0.550887 1.80044
the ProjectPosition_correc: 0.0360594 -0.550887 1.80044
 
the ProjectPosition_origin: 0.0360594 -0.550887 1.80044
the ProjectPosition_correc: 0.0360594 -0.550887 1.80044
 
the ProjectPosition_origin: 0.0360594 -0.550887 1.80044
the ProjectPosition_correc: 0.0360594 -0.550887 1.80044
 
the ProjectPosition_origin: 0.0360594 -0.550887 1.80044
the ProjectPosition_correc: 0.0360594 -0.550887 1.80044
 
the ProjectPosition_origin: 0.0360594 -0.550887 1.80044
the ProjectPosition_correc: 0.0360594 -0.550887 1.80044
 
the ProjectPosition_origin: 0.0360594 -0.550887 1.80044
the ProjectPosition_correc: 0.0360594 -0.550887 1.80044
 
the ProjectPosition_origin: 0.0360594 -0.550887 1.80044
the ProjectPosition_correc: 0.0360594 -0.550887 1.80044
 
the ProjectPosition_origin: 0.0360594 -0.550887 1.80044
the ProjectPosition_correc: 0.0360594 -0.550887 1.80044
 
the ProjectPosition_origin: 0.0360594 -0.550887 1.80044
the ProjectPosition_correc: 0.0360594 -0.550887 1.80044
 
the ProjectPosition_origin: 0.0360594 -0.550887 1.80044
the ProjectPosition_correc: 0.0360594 -0.550887 1.80044
 
